miner_id,client_name,miner_name,status,miner_type,miner_ip,miner_mac,miner_serial,psu_serial,miner_created_date,uptime,firmware_version,miner_tags,observed,last_update,last_update_unix,hash_rate,max_temp,temps,max_fan,fans,accepted_shares,rejected_shares,stale_shares,active_pool,active_worker,pool_1_url,pool_1_worker,pool_2_url,pool_2_worker,pool_3_url,pool_3_worker,pool_connected,submitting_shares,wattage,power_mode,pickaxe,description,miner_row,miner_index,miner_rack,miner_rack_group,miner_control_board
12276022,Tula,Whatsminer M30S+ - c8:11:16:00:09:cc,okay,Whatsminer M30S+,172.16.132.145,c8:11:16:00:09:cc,,1436Y2203604059,2025-05-26 23:47:08.466190+0000,1:46:23.059539,20230714.15.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,94248516080000.0000000000,91,43:76:91:72:88:66:80:51,9760,7530:7500:9760,358,0,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-16,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-16,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-16,,,True,True,3326,normal,Esme,,,,,,
12276023,Tula,Whatsminer M30S+ - c8:01:10:00:00:91,okay,Whatsminer M30S+,172.16.132.94,c8:01:10:00:00:91,,3D205209609,2025-05-26 23:47:08.466190+0000,4:29:52.564248,20220512.17.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,103216620970000.0000000000,88,32:78:88:70:79:71:81,9600,6210:5940:9600,904,3,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-112,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-112,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-112,,,True,True,3595,normal,Esme,,,,,,
12276024,Tula,Whatsminer M30S+ - c8:06:22:00:70:c6,okay,Whatsminer M30S+,172.16.132.147,c8:06:22:00:70:c6,,1355A2146603090,2025-05-26 23:47:08.466190+0000,"1 day, 4:51:22.388871",20220712.14.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,102880599310000.0000000000,88,30:78:85:77:85:79:88,10064,5430:5460:10064,1036,1,5,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-75,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-75,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-75,,,True,True,3617,normal,Esme,,,,,,
12276025,Tula,Whatsminer M30S+ - c8:06:22:00:3f:8d,fail,Whatsminer M30S+,0.0.0.0,c8:06:22:00:3f:8d,,7D213500612,2025-05-26 23:47:08.466190+0000,0:00:00,,,True,2025-05-30 18:10:47.352000+00:00,1748628647352,0,,,,,0,0,0,,,,,,,,,False,False,4,sleeping,Esme,,,,,,
12276026,Tula,Whatsminer M30S+ - c8:06:22:00:73:99,okay,Whatsminer M30S+,172.16.132.236,c8:06:22:00:73:99,,1355A2135603868,2025-05-26 23:47:08.466190+0000,4:19:53.230923,20230714.15.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,87377375700000.0000000000,83,37:83:0:77:0:44:0:55,9968,7590:8400:9968,946,0,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-140,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-140,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-140,,,True,True,3427,normal,Esme,,,,,,
12276027,Tula,Whatsminer M30S+ - c8:05:06:00:11:bc,okay,Whatsminer M30S+,172.16.132.233,c8:05:06:00:11:bc,,1355B2102600819,2025-05-26 23:47:08.466190+0000,1:22:23.184796,20220712.14.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,40220081640000.0000000000,79,34:79:0:40:0:41:0,10128,7890:6480:10128,325,0,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-89,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T1-89,,,,,True,True,2243,normal,Esme,,,,,,
12276028,Tula,Whatsminer M30S+ - c8:04:08:00:19:c8,okay,Whatsminer M30S+,172.16.132.155,c8:04:08:00:19:c8,,1355A2146603223,2025-05-26 23:47:08.466190+0000,4:10:52.542185,20220512.17.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,98431689840000.0000000000,90,30:80:90:59:67:62:72,7840,7410:7470:7840,932,2,0,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T192,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T192,stratum+ssl,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.T192,,,True,True,3467,normal,Esme,,,,,,
12276029,Tula,Whatsminer M30S+ - c8:08:31:00:48:07,fail,Whatsminer M30S+,0.0.0.0,c8:08:31:00:48:07,,7D213600515,2025-05-26 23:47:08.466190+0000,0:00:00,20230714.15.Rel,,True,2025-06-10 22:45:40.440000+00:00,1749595540440,0,,,,,0,0,0,,,,,,,,,False,False,2839,normal,Esme,,,,,,
12276030,Tula,Whatsminer M30S+ - c8:05:06:00:4e:8b,fail,Whatsminer M30S+,0.0.0.0,c8:05:06:00:4e:8b,,9D220900590,2025-05-26 23:47:08.466190+0000,0:00:00,20220712.14.Rel,,True,2025-06-10 23:00:42.035000+00:00,1749596442035,0,,,,,0,0,0,,,,,,,,,False,False,3606,normal,Esme,,,,,,
12276031,Tula,Whatsminer M30S+ - c8:01:26:00:13:71,okay,Whatsminer M30S+,172.16.132.167,c8:01:26:00:13:71,,3D212201573,2025-05-26 23:47:08.466190+0000,4:50:50.281519,20230911.12.Rel,,True,2025-06-10 23:07:43.296000+00:00,1749596863296,103698808360000.0000000000,85,38:70:79:71:79:75:85:45,10048,6420:6330:10048,945,4,10,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.C-34,sha256asicboost.auto.nicehash.com:9200,NHbMiJqsPwu2PXx2kaguPx15jGVzzPHPZrQo.C-34,,,,,True,True,3641,normal,Esme,,,,,,
